epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,8591.92,1.30333,0.43539,0.00142,0.93796,0.55014,0.75158,0.54828,1.51579,0.55995,0.00231,0.00165152,0.00165152,0.00165152
90,8687.09,1.28722,0.43464,0.00143,0.93713,0.56481,0.76045,0.55644,1.49553,0.56709,0.0023,0.00164756,0.00164756,0.00164756
91,8783,1.26417,0.41937,0.00139,0.92695,0.55996,0.75256,0.54575,1.5268,0.58142,0.0023,0.0016436,0.0016436,0.0016436
92,8879.37,1.31461,0.43469,0.00145,0.94634,0.52773,0.74384,0.53479,1.56585,0.57856,0.00241,0.00163964,0.00163964,0.00163964
93,8975,1.2862,0.42514,0.00143,0.93884,0.55326,0.7555,0.55263,1.50186,0.54842,0.00229,0.00163568,0.00163568,0.00163568
94,9070.33,1.31018,0.43167,0.0014,0.93707,0.54702,0.75105,0.53967,1.5586,0.55739,0.00237,0.00163172,0.00163172,0.00163172
95,9167.09,1.31669,0.43777,0.00144,0.93828,0.54794,0.75108,0.55091,1.48822,0.56091,0.00227,0.00162776,0.00162776,0.00162776
96,9262.99,1.3042,0.42983,0.00142,0.93586,0.56805,0.7623,0.55782,1.48341,0.54787,0.00226,0.0016238,0.0016238,0.0016238
97,9358.74,1.31599,0.43073,0.00144,0.94499,0.53986,0.75002,0.53915,1.55542,0.55822,0.00237,0.00161984,0.00161984,0.00161984
98,9454.95,1.31118,0.42998,0.00139,0.93475,0.55776,0.75553,0.54594,1.5345,0.55327,0.00234,0.00161588,0.00161588,0.00161588
99,9550.75,1.25813,0.41723,0.0014,0.94012,0.55141,0.75345,0.5545,1.48973,0.55859,0.00227,0.00161192,0.00161192,0.00161192
100,9647.03,1.2724,0.42382,0.0014,0.94125,0.55707,0.75797,0.55496,1.4977,0.57276,0.00228,0.00160796,0.00160796,0.00160796
101,9743.67,1.22267,0.4056,0.00136,0.93853,0.55384,0.7549,0.55529,1.48492,0.54018,0.00225,0.001604,0.001604,0.001604
102,9839.56,1.28368,0.42704,0.0014,0.94324,0.55095,0.75473,0.55007,1.51496,0.55493,0.00229,0.00160004,0.00160004,0.00160004
