epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,98041.4,2.10382,0.89895,0.00305,0.73191,0.45471,0.56015,0.24502,2.39319,1.1955,0.00461,0.002535,0.000845,0.002535,0.000845,0.002535,0.000845,0.002535,0.000845
72,99135.8,2.0893,0.89442,0.00307,0.74043,0.45876,0.56542,0.2515,2.39416,1.19465,0.00467,0.0024855,0.0008285,0.0024855,0.0008285,0.0024855,0.0008285,0.0024855,0.0008285
73,100198,2.05679,0.88194,0.00307,0.7196,0.45714,0.56,0.24506,2.41331,1.194,0.00463,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
74,101332,2.12388,0.90769,0.00308,0.71801,0.4576,0.55848,0.24143,2.45035,1.21878,0.00479,0.0023865,0.0007955,0.0023865,0.0007955,0.0023865,0.0007955,0.0023865,0.0007955
75,102421,2.07983,0.88457,0.00303,0.72196,0.45726,0.5607,0.24877,2.38545,1.25059,0.00461,0.002337,0.000779,0.002337,0.000779,0.002337,0.000779,0.002337,0.000779
76,103515,2.08736,0.88329,0.00306,0.72771,0.4546,0.56363,0.24635,2.41372,1.24435,0.00469,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
77,104582,2.06765,0.88003,0.00305,0.71746,0.45941,0.55918,0.24348,2.40869,1.21306,0.0046,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
78,105623,2.09097,0.87567,0.00306,0.72871,0.45833,0.56158,0.2478,2.3947,1.22262,0.00458,0.0021885,0.0007295,0.0021885,0.0007295,0.0021885,0.0007295,0.0021885,0.0007295
79,107108,2.04686,0.87407,0.00299,0.72154,0.45771,0.5606,0.24085,2.42339,1.24421,0.00461,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
80,108544,2.08157,0.86928,0.00294,0.71976,0.45471,0.55603,0.24084,2.42237,1.2121,0.00462,0.0020895,0.0006965,0.0020895,0.0006965,0.0020895,0.0006965,0.0020895,0.0006965
81,109822,2.09883,0.90616,0.00308,0.73332,0.45999,0.56578,0.25139,2.3981,1.19705,0.0046,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
82,111769,2.082,0.89517,0.00307,0.71838,0.45473,0.55471,0.24352,2.4054,1.22386,0.00458,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635
83,113215,2.0802,0.86438,0.00301,0.7297,0.46656,0.56748,0.25408,2.36204,1.1655,0.00454,0.001941,0.000647,0.001941,0.000647,0.001941,0.000647,0.001941,0.000647
84,114306,2.0507,0.87754,0.00299,0.71168,0.4591,0.56335,0.25231,2.37629,1.2699,0.00458,0.0018915,0.0006305,0.0018915,0.0006305,0.0018915,0.0006305,0.0018915,0.0006305
85,115271,2.06245,0.85216,0.00306,0.72647,0.46072,0.56354,0.25293,2.37174,1.20553,0.0046,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
86,116245,2.0384,0.87159,0.00311,0.71981,0.4618,0.56593,0.25735,2.36519,1.24403,0.0046,0.0017925,0.0005975,0.0017925,0.0005975,0.0017925,0.0005975,0.0017925,0.0005975
87,117357,2.08283,0.86774,0.00305,0.7298,0.46638,0.57065,0.25402,2.35788,1.2008,0.00449,0.001743,0.000581,0.001743,0.000581,0.001743,0.000581,0.001743,0.000581
88,118286,2.04356,0.87355,0.00298,0.72602,0.45278,0.56056,0.24725,2.4211,1.2438,0.00469,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645
89,119333,2.0635,0.89166,0.003,0.72804,0.45252,0.56227,0.24997,2.38104,1.26076,0.00456,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
90,120322,2.0354,0.86949,0.00296,0.7191,0.45959,0.56498,0.25202,2.37978,1.24684,0.00459,0.0015945,0.0005315,0.0015945,0.0005315,0.0015945,0.0005315,0.0015945,0.0005315
91,121368,2.05068,0.87244,0.00295,0.71511,0.46788,0.56715,0.25483,2.35649,1.19335,0.00454,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
92,122481,2.05368,0.85947,0.003,0.72693,0.45818,0.5656,0.25598,2.36299,1.23734,0.00456,0.0014955,0.0004985,0.0014955,0.0004985,0.0014955,0.0004985,0.0014955,0.0004985
93,123492,2.04797,0.85787,0.00295,0.73427,0.45887,0.56724,0.25566,2.34745,1.23535,0.00445,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
94,124517,2.0904,0.87598,0.00303,0.71491,0.45841,0.56368,0.25782,2.3504,1.28349,0.00447,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655
95,125532,2.07261,0.86276,0.00299,0.72073,0.46003,0.56428,0.25424,2.36009,1.23856,0.00451,0.001347,0.000449,0.001347,0.000449,0.001347,0.000449,0.001347,0.000449
96,126520,2.07077,0.86184,0.00295,0.73,0.46315,0.56692,0.24912,2.41992,1.23248,0.00466,0.0012975,0.0004325,0.0012975,0.0004325,0.0012975,0.0004325,0.0012975,0.0004325
97,127595,2.05088,0.85934,0.00296,0.73608,0.46061,0.56552,0.25225,2.3977,1.21433,0.00463,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
98,128606,2.06944,0.8475,0.00293,0.72336,0.45494,0.56444,0.25409,2.39537,1.31404,0.00464,0.0011985,0.0003995,0.0011985,0.0003995,0.0011985,0.0003995,0.0011985,0.0003995
99,129575,2.02277,0.85672,0.00302,0.72129,0.45737,0.56248,0.24967,2.40244,1.2597,0.00459,0.001149,0.000383,0.001149,0.000383,0.001149,0.000383,0.001149,0.000383
100,130560,2.04388,0.86448,0.00304,0.71572,0.46014,0.56269,0.25594,2.37485,1.26082,0.00458,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665
101,131576,2.03769,0.84006,0.00291,0.72846,0.46476,0.56536,0.25171,2.38565,1.21254,0.00459,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
102,132586,2.03203,0.84005,0.00292,0.73393,0.46372,0.56933,0.25876,2.35547,1.21574,0.00456,0.0010005,0.0003335,0.0010005,0.0003335,0.0010005,0.0003335,0.0010005,0.0003335
103,133883,2.06324,0.90746,0.003,0.7254,0.45957,0.56592,0.25625,2.35858,1.2475,0.00456,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
104,135354,2.04395,0.88325,0.003,0.74463,0.4613,0.56946,0.25765,2.34089,1.193,0.00447,0.0009015,0.0003005,0.0009015,0.0003005,0.0009015,0.0003005,0.0009015,0.0003005
105,136364,2.0205,0.84542,0.00296,0.73198,0.465,0.56986,0.26006,2.33464,1.21846,0.00448,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
106,137429,2.04091,0.84894,0.0029,0.73378,0.4613,0.56655,0.25909,2.33462,1.22231,0.00449,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675
107,138612,2.02754,0.86079,0.00296,0.74046,0.46374,0.57145,0.26134,2.34322,1.20343,0.0045,0.000753,0.000251,0.000753,0.000251,0.000753,0.000251,0.000753,0.000251
108,140047,2.05402,0.84918,0.00295,0.73197,0.46222,0.56723,0.25571,2.36774,1.22976,0.00456,0.0007035,0.0002345,0.0007035,0.0002345,0.0007035,0.0002345,0.0007035,0.0002345
109,141108,2.05344,0.8392,0.00293,0.73011,0.4644,0.57122,0.26153,2.35983,1.2059,0.00461,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
110,142116,2.01823,0.85734,0.00302,0.72892,0.45957,0.5672,0.25356,2.37047,1.24298,0.00457,0.0006045,0.0002015,0.0006045,0.0002015,0.0006045,0.0002015,0.0006045,0.0002015
