epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,4716.87,2.05046,0.80833,0.0025,0.94889,0.24238,0.59616,0.33777,2.33377,0.95295,0.00377,0.00418087,0.00139362,0.00418087,0.00139362,0.00418087,0.00139362,0.00418087,0.00139362
51,4809.92,2.04852,0.81178,0.00246,0.95525,0.22932,0.59251,0.34203,2.31462,0.95453,0.00373,0.00414375,0.00138125,0.00414375,0.00138125,0.00414375,0.00138125,0.00414375,0.00138125
52,4903.27,2.03619,0.80513,0.00247,0.94474,0.26271,0.60429,0.34192,2.30387,0.95065,0.00371,0.00410663,0.00136888,0.00410663,0.00136888,0.00410663,0.00136888,0.00410663,0.00136888
53,4996.34,2.04547,0.798,0.00246,0.95998,0.21892,0.58907,0.34483,2.301,0.94188,0.00369,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
54,5089.78,2.06172,0.80816,0.00246,0.9562,0.2396,0.59768,0.34802,2.26871,0.93795,0.00365,0.00403238,0.00134413,0.00403238,0.00134413,0.00403238,0.00134413,0.00403238,0.00134413
55,5184.6,2.06755,0.80428,0.00247,0.95906,0.23001,0.59396,0.34758,2.27751,0.93866,0.00368,0.00399525,0.00133175,0.00399525,0.00133175,0.00399525,0.00133175,0.00399525,0.00133175
56,5280.02,2.05723,0.80252,0.00246,0.96154,0.2195,0.59028,0.34754,2.28462,0.93647,0.00368,0.00395812,0.00131938,0.00395812,0.00131938,0.00395812,0.00131938,0.00395812,0.00131938
57,5374.96,2.02378,0.79442,0.00246,0.9602,0.21742,0.58874,0.35451,2.23242,0.92084,0.0036,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
58,5470.33,2.00016,0.77718,0.00241,0.95159,0.2634,0.60749,0.34784,2.28167,0.93873,0.00369,0.00388388,0.00129463,0.00388388,0.00129463,0.00388388,0.00129463,0.00388388,0.00129463
59,5564.9,2.06383,0.79608,0.00242,0.95524,0.23914,0.59693,0.34711,2.28044,0.93296,0.00366,0.00384675,0.00128225,0.00384675,0.00128225,0.00384675,0.00128225,0.00384675,0.00128225
60,5658.67,2.02018,0.7875,0.0024,0.94847,0.25728,0.6033,0.34285,2.29217,0.94006,0.00368,0.00380962,0.00126987,0.00380962,0.00126987,0.00380962,0.00126987,0.00380962,0.00126987
61,5752.42,2.02902,0.78814,0.00242,0.96106,0.22239,0.5918,0.34464,2.29827,0.94692,0.00368,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
62,5845.86,2.01851,0.78554,0.00241,0.95335,0.25023,0.60206,0.34988,2.26094,0.92369,0.00363,0.00373537,0.00124513,0.00373537,0.00124513,0.00373537,0.00124513,0.00373537,0.00124513
63,5939.15,2.00363,0.77996,0.00245,0.95648,0.2463,0.6015,0.35406,2.24531,0.92227,0.00361,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275
64,6031.82,2.0096,0.78386,0.00243,0.95983,0.2567,0.60809,0.35635,2.22714,0.91689,0.00358,0.00366112,0.00122038,0.00366112,0.00122038,0.00366112,0.00122038,0.00366112,0.00122038
65,6124.9,1.96492,0.75721,0.00237,0.96289,0.23983,0.60159,0.35842,2.21156,0.91192,0.00357,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
66,6218.62,1.99493,0.76572,0.00236,0.96291,0.23394,0.59841,0.35479,2.24955,0.92249,0.00362,0.00358687,0.00119562,0.00358687,0.00119562,0.00358687,0.00119562,0.00358687,0.00119562
67,6311.68,2.01494,0.777,0.00239,0.95772,0.24861,0.60344,0.34979,2.28318,0.92422,0.00366,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325
68,6405.17,1.98836,0.77262,0.00238,0.95748,0.24711,0.60225,0.34614,2.29808,0.92578,0.00366,0.00351263,0.00117088,0.00351263,0.00117088,0.00351263,0.00117088,0.00351263,0.00117088
69,6498.14,1.97984,0.76451,0.00238,0.95847,0.26398,0.61129,0.36114,2.21562,0.90305,0.00357,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
70,6593.13,2.00556,0.76149,0.00239,0.96263,0.2589,0.61039,0.3632,2.20683,0.90263,0.00356,0.00343838,0.00114613,0.00343838,0.00114613,0.00343838,0.00114613,0.00343838,0.00114613
71,6686.57,1.97628,0.76325,0.00236,0.95751,0.26294,0.61038,0.36123,2.20839,0.90547,0.00356,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375
72,6778.67,1.95718,0.75424,0.00239,0.9569,0.26421,0.61061,0.36188,2.19858,0.9088,0.00354,0.00336412,0.00112137,0.00336412,0.00112137,0.00336412,0.00112137,0.00336412,0.00112137
